MINISTERUL AFACERILOR INTERNE,,,,,,,,TOTAL,,,,,,,
DIRECTIA REGIM PERMISE DE CONDUCERE SI INMATRICULARE A VEHICULELOR,,,,,,,,,,,,,,,
PARC AUTO LA 31.12.2020,,,,,,,,,,,,,,,
CATEGORIA,Numar,Vechime (ani),,,,,,Carburant,,,,Vechime (ani),,,
,,0--2,3--5,6--10,11--15,16--20,>20,Benzina,Motorina,Electric,Hibrid01(benzina+electric),0--4,5--8,9--12,peste 12
,,,,,,,,,,,Hibrid02(motorina+electric),,,,
,,,,,,,,,,,Hibrid03(GPL+electric),,,,
   model nespecificat,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
 total marca GUOWEI,5,0,0,3,2,0,0,5,0,0,0,0,2,3,0
   model GW50Q-D,5,0,0,3,2,0,0,5,0,0,0,0,2,3,0
 total marca HANGLONG,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
   model HL50QT-35,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
 total marca HAOJIN,2,0,1,0,1,0,0,2,0,0,0,1,0,0,1
   model HJ50QT-11,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
   model HJ50QT-5,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
 total marca HARLEY DAVIDSON,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
   model NIGHT TRAIN,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
 total marca HER CHEE,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model X-M1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
 total marca HERCULES,2,0,0,0,0,0,2,2,0,0,0,0,0,0,2
   model nespecificat,2,0,0,0,0,0,2,2,0,0,0,0,0,0,2
 total marca HERO,13,0,0,1,3,1,8,13,0,0,0,0,1,0,12
   model CITYFLEX,4,0,0,1,3,0,0,4,0,0,0,0,1,0,3
   model nespecificat,9,0,0,0,0,1,8,9,0,0,0,0,0,0,9
 total marca HONDA,67,0,1,6,3,7,50,67,0,0,0,0,5,2,60
   model BALI,8,0,0,0,0,1,7,8,0,0,0,0,0,0,8
   model CAMINO,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model CBR 600 F,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model CBR125,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
   model CRF250X,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
   model CRM50R,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
   model NPS50,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
   model NSC50MPD,2,0,0,2,0,0,0,2,0,0,0,0,2,0,0
   model NSC50T2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
   model NSC50WH,4,0,1,3,0,0,0,4,0,0,0,0,2,2,0
   model SFX 50,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model SFX50,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model SH FIFTY,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model SH50,5,0,0,0,0,2,3,5,0,0,0,0,0,0,5
   model SHADOW 50,3,0,0,0,0,0,3,3,0,0,0,0,0,0,3
   model SKY,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model XR125L,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
   model nespecificat,33,0,0,0,0,2,31,33,0,0,0,0,0,0,33
 total marca HUATIAN,14,0,1,0,13,0,0,14,0,0,0,1,0,7,6
   model HT50QT-16,5,0,0,0,5,0,0,5,0,0,0,0,0,1,4
   model HT50QT-30,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
   model HT50QT-9,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
   model JL50QT-6,2,0,0,0,2,0,0,2,0,0,0,0,0,1,1
   model nespecificat,5,0,1,0,4,0,0,5,0,0,0,1,0,3,1
 total marca HUPPER,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
   model nespecificat,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
 total marca HYOSUNG,2,0,0,0,1,0,1,2,0,0,0,0,0,1,1
   model AVANTI 50,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model RALLY,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
 total marca I MOTO,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
   model nespecificat,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
 total marca IJIN DING,7,0,0,0,7,0,0,7,0,0,0,0,0,0,7
   model nespecificat,7,0,0,0,7,0,0,7,0,0,0,0,0,0,7
 total marca INTERCYCLE,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
 total marca ITALJET,11,0,0,0,1,1,9,11,0,0,0,0,0,1,10
   model DRAGSTER 50,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model SE,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
   model nespecificat,9,0,0,0,0,1,8,9,0,0,0,0,0,0,9
 total marca JAWA,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
 total marca JIAJUE,2,0,1,0,1,0,0,2,0,0,0,0,1,1,0
   model nespecificat,2,0,1,0,1,0,0,2,0,0,0,0,1,1,0
 total marca JIALING,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
   model JL50QT-38-00,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
 total marca JINCHENG,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
   model nespecificat,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
 total marca JINLUN,40,0,0,5,27,8,0,40,0,0,0,0,0,19,21
   model JL50QT-5,20,0,0,4,16,0,0,20,0,0,0,0,0,9,11
   model JL50QT-6,6,0,0,0,6,0,0,6,0,0,0,0,0,6,0
   model JL50QT-9,2,0,0,1,1,0,0,2,0,0,0,0,0,2,0
   model nespecificat,12,0,0,0,4,8,0,12,0,0,0,0,0,2,10
 total marca JMSTAR,23,0,0,8,15,0,0,23,0,0,0,0,4,6,13
   model JONWAY,2,0,0,0,2,0,0,2,0,0,0,0,0,0,2
   model JSD50QT-27,11,0,0,3,8,0,0,11,0,0,0,0,1,2,8
   model SPEEDY,4,0,0,0,4,0,0,4,0,0,0,0,0,1,3
   model nespecificat,6,0,0,5,1,0,0,6,0,0,0,0,3,3,0
 total marca JONWAY,22,0,0,16,6,0,0,22,0,0,0,0,9,9,4
   model SUNNY,9,0,0,9,0,0,0,9,0,0,0,0,8,1,0
   model nespecificat,13,0,0,7,6,0,0,13,0,0,0,0,1,8,4
 total marca KANGDA,19,0,0,0,19,0,0,19,0,0,0,0,0,4,15
   model MAGNET CITY,4,0,0,0,4,0,0,4,0,0,0,0,0,0,4
