MINISTERUL AFACERILOR INTERNE,,,,,,,,TOTAL,,,,,
DIRECTIA REGIM PERMISE DE CONDUCERE SI INMATRICULARE A VEHICULELOR,,,,,,,,,,,,,
PARC AUTO LA 31.12.2019,,,,,,,,,,,,,
CATEGORIA DE FOLOSINTA,Numar,Vechime (ani),,,,,,Carburant,,Vechime (ani),,,
,,0--2,3--5,6--10,11--15,16--20,>20,Motorina,Benzina,0--4,5--8,9--12,peste 12
   model O405 NU,2,0,0,0,0,0,2,2,0,0,0,0,2
   model O405N,1,0,0,0,0,0,1,1,0,0,0,0,1
   model SETRA,17,0,0,0,3,5,9,17,0,0,0,0,17
   model TRAVEGO,3,0,0,0,1,2,0,3,0,0,0,0,3
   model nespecificat,27,0,0,0,0,5,22,27,0,0,0,0,27
 total marca FBW,36,0,0,0,0,0,36,36,0,0,0,0,36
   model nespecificat,36,0,0,0,0,0,36,36,0,0,0,0,36
 total marca FERQUI,7,1,5,1,0,0,0,7,0,3,4,0,0
   model SUNRISE,6,1,4,1,0,0,0,6,0,2,4,0,0
   model nespecificat,1,0,1,0,0,0,0,1,0,1,0,0,0
 total marca FIAT,74,0,0,0,0,0,74,74,0,0,0,0,74
   model 30 12 30/T,1,0,0,0,0,0,1,1,0,0,0,0,1
   model 370.12.26,1,0,0,0,0,0,1,1,0,0,0,0,1
   model 37012.35,1,0,0,0,0,0,1,1,0,0,0,0,1
   model 370S,1,0,0,0,0,0,1,1,0,0,0,0,1
   model DV19C 370 TURBO,1,0,0,0,0,0,1,1,0,0,0,0,1
   model MENARINI,2,0,0,0,0,0,2,2,0,0,0,0,2
   model ORLANDI,2,0,0,0,0,0,2,2,0,0,0,0,2
   model ORLANDO,3,0,0,0,0,0,3,3,0,0,0,0,3
   model PADANE,1,0,0,0,0,0,1,1,0,0,0,0,1
   model nespecificat,61,0,0,0,0,0,61,61,0,0,0,0,61
 total marca FORD,4,0,0,0,0,0,4,2,2,0,0,0,4
   model nespecificat,4,0,0,0,0,0,4,2,2,0,0,0,4
 total marca GEPEBUS,1,0,0,0,0,0,1,1,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,1,0,0,0,0,1
 total marca GERA,12,0,0,0,0,0,12,12,0,0,0,0,12
   model nespecificat,12,0,0,0,0,0,12,12,0,0,0,0,12
 total marca GOLDEN DRAGON,23,0,0,9,14,0,0,23,0,0,9,14,0
   model CO TOUR,1,0,0,1,0,0,0,1,0,0,1,0,0
   model PIVOT,8,0,0,8,0,0,0,8,0,0,8,0,0
   model XML6896E1A,1,0,0,0,1,0,0,1,0,0,0,1,0
   model nespecificat,13,0,0,0,13,0,0,13,0,0,0,13,0
 total marca GRAF,18,0,0,0,0,0,18,18,0,0,0,0,18
   model nespecificat,18,0,0,0,0,0,18,18,0,0,0,0,18
 total marca GRIVBUS,38,0,0,0,2,34,2,38,0,0,0,0,38
   model nespecificat,38,0,0,0,2,34,2,38,0,0,0,0,38
 total marca GRIVBUZ,1,0,0,0,0,1,0,1,0,0,0,0,1
   model nespecificat,1,0,0,0,0,1,0,1,0,0,0,0,1
 total marca GULERYUZ,149,14,0,29,88,18,0,149,0,14,5,62,68
   model COBRA,104,0,0,22,82,0,0,104,0,0,0,60,44
   model COBRA GD272,2,0,0,2,0,0,0,2,0,0,2,0,0
   model COBRA GD272 LF,1,1,0,0,0,0,0,1,0,1,0,0,0
   model COBRA GL9,2,0,0,2,0,0,0,2,0,0,2,0,0
   model DOUBLE DECKER SPORT,2,0,0,2,0,0,0,2,0,0,0,2,0
   model ECOLINE 10,6,6,0,0,0,0,0,6,0,6,0,0,0
   model ECOLINE 12,3,3,0,0,0,0,0,3,0,3,0,0,0
   model ECOLINE-12,4,4,0,0,0,0,0,4,0,4,0,0,0
   model nespecificat,25,0,0,1,6,18,0,25,0,0,1,0,24
 total marca HEULIEZ,18,0,0,0,3,3,12,18,0,0,0,0,18
   model GX 107,6,0,0,0,0,0,6,6,0,0,0,0,6
   model GX 317,5,0,0,0,0,0,5,5,0,0,0,0,5
   model GX117,4,0,0,0,3,1,0,4,0,0,0,0,4
   model nespecificat,3,0,0,0,0,2,1,3,0,0,0,0,3
 total marca HIGER,127,7,10,8,102,0,0,127,0,13,11,78,25
   model KING LONG,2,0,0,0,2,0,0,2,0,0,0,0,2
   model KING-LONG,7,0,0,0,7,0,0,7,0,0,0,2,5
   model SCANIA TOURING HD,24,7,10,7,0,0,0,24,0,13,11,0,0
   model nespecificat,94,0,0,1,93,0,0,94,0,0,0,76,18
 total marca HYUNDAI,2,0,0,0,1,0,1,2,0,0,0,0,2
   model AERO EXPRESS HSX,1,0,0,0,1,0,0,1,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,1,0,0,0,0,1
 total marca I KARUS,1,0,0,0,0,0,1,1,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,1,0,0,0,0,1
 total marca IDILIS,4,0,0,4,0,0,0,4,0,0,4,0,0
   model CITY,2,0,0,2,0,0,0,2,0,0,2,0,0
   model MERCEDES BENZ/IDILIS,2,0,0,2,0,0,0,2,0,0,2,0,0
 total marca IFA,3,0,0,0,0,0,3,3,0,0,0,0,3
   model nespecificat,3,0,0,0,0,0,3,3,0,0,0,0,3
 total marca IGERO,16,0,0,2,14,0,0,16,0,0,0,11,5
   model CITY,3,0,0,2,1,0,0,3,0,0,0,2,1
   model CITY-SCHOOL BUS,1,0,0,0,1,0,0,1,0,0,0,0,1
   model INTERCITY,2,0,0,0,2,0,0,2,0,0,0,0,2
   model nespecificat,10,0,0,0,10,0,0,10,0,0,0,9,1
 total marca IKARUS,812,0,0,0,1,2,809,808,0,0,0,0,812
   model 412,4,0,0,0,0,0,4,4,0,0,0,0,4
   model BUSS,1,0,0,0,1,0,0,1,0,0,0,0,1
   model CSEPEL,1,0,0,0,0,0,1,1,0,0,0,0,1
   model nespecificat,806,0,0,0,0,2,804,802,0,0,0,0,806
 total marca INDBUS,4,0,2,2,0,0,0,4,0,0,4,0,0
   model HD L TOURISTIC,1,0,1,0,0,0,0,1,0,0,1,0,0
   model MAXIMO L TOURISTIC,1,0,1,0,0,0,0,1,0,0,1,0,0
   model PRACTICO INTERCITY,2,0,0,2,0,0,0,2,0,0,2,0,0
 total marca INDCAR,1,0,1,0,0,0,0,1,0,0,1,0,0
   model MOBI,1,0,1,0,0,0,0,1,0,0,1,0,0
 total marca INTERNATIONAL,1,0,0,0,0,0,1,0,1,0,0,0,1
   model LOAD STAR 1700,1,0,0,0,0,0,1,0,1,0,0,0,1
 total marca IOROM,1,0,0,0,1,0,0,1,0,0,0,0,1
   model AN2002,1,0,0,0,1,0,0,1,0,0,0,0,1
 total marca IRISBUS,565,0,0,42,378,145,0,565,0,0,15,190,360
   model AGORA,32,0,0,0,0,32,0,32,0,0,0,0,32
   model AGORA S,1,0,0,0,0,1,0,1,0,0,0,0,1
   model ARES,38,0,0,0,5,33,0,38,0,0,0,0,38
   model ARWAY,71,0,0,5,66,0,0,71,0,0,4,44,23
   model AXER,86,0,0,0,78,8,0,86,0,0,0,0,86
   model AXER TURIST,1,0,0,0,1,0,0,1,0,0,0,0,1
   model CENTURY,1,0,0,0,1,0,0,1,0,0,0,1,0
   model CITELIS,63,0,0,1,61,1,0,63,0,0,0,6,57
   model CROSSWAY,131,0,0,16,115,0,0,131,0,0,6,118,7
   model DAILY,4,0,0,4,0,0,0,4,0,0,4,0,0
   model DOMINO,5,0,0,0,5,0,0,5,0,0,0,3,2
   model DOMINO 2001 HD,2,0,0,0,0,2,0,2,0,0,0,0,2
   model EURO CLASS HD,1,0,0,0,0,1,0,1,0,0,0,0,1
   model EUROCLASS,2,0,0,0,0,2,0,2,0,0,0,0,2
   model EUROCLASS HD,5,0,0,0,0,5,0,5,0,0,0,0,5
   model EUROPOLIS 8.17,1,0,0,0,0,1,0,1,0,0,0,0,1
   model EURORIDER,6,0,0,0,0,6,0,6,0,0,0,0,6
   model EURORIDER 38,1,0,0,0,0,1,0,1,0,0,0,0,1
   model EURORIDER 43,1,0,0,0,0,1,0,1,0,0,0,0,1
   model EURORIDER D-43A,1,0,0,0,0,1,0,1,0,0,0,0,1
   model EVADAYS H,1,0,0,1,0,0,0,1,0,0,1,0,0
   model EVADYS,1,0,0,0,1,0,0,1,0,0,0,0,1
   model EVADYS H,1,0,0,0,1,0,0,1,0,0,0,1,0
   model ILIADE,4,0,0,0,2,2,0,4,0,0,0,0,4
   model IRISBUS,2,0,0,0,1,1,0,2,0,0,0,0,2
   model MIDWAY,1,0,0,0,1,0,0,1,0,0,0,0,1
   model MIDYS,1,0,0,0,1,0,0,1,0,0,0,1,0
   model OMNIBUS,1,0,0,0,1,0,0,1,0,0,0,0,1
   model ORLANDI,1,0,0,0,1,0,0,1,0,0,0,0,1
   model RECREO,1,0,0,0,1,0,0,1,0,0,0,0,1
   model SFR115B,1,0,0,0,0,1,0,1,0,0,0,0,1
   model SIDERAL,2,0,0,0,0,2,0,2,0,0,0,0,2
   model TITANIUM,1,0,0,0,1,0,0,1,0,0,0,0,1
   model TOP CLASS,1,0,0,0,0,1,0,1,0,0,0,0,1
   model nespecificat,93,0,0,15,35,43,0,93,0,0,0,16,77
 total marca IRISBUS IVECO,1,0,0,0,0,1,0,1,0,0,0,0,1
   model DOMINO 2001HD ORLANDI,1,0,0,0,0,1,0,1,0,0,0,0,1
 total marca IRIZAR,34,2,7,21,2,1,1,34,0,7,22,2,3
   model CENTURY,2,0,0,0,0,1,1,2,0,0,0,0,2
   model I6 10.78,1,0,0,1,0,0,0,1,0,0,1,0,0
   model I6 12.35,2,0,1,1,0,0,0,2,0,1,1,0,0
   model I6 12.35/400,1,0,0,1,0,0,0,1,0,0,1,0,0
   model I6 12.37,3,0,3,0,0,0,0,3,0,3,0,0,0
   model I6 12.37/440,1,0,0,1,0,0,0,1,0,0,0,1,0
   model I6 13.2(2).37L,1,0,1,0,0,0,0,1,0,0,1,0,0
   model I6 13.35,2,0,0,2,0,0,0,2,0,0,2,0,0
   model I6 15.37,2,1,1,0,0,0,0,2,0,1,1,0,0
   model I8 12.4(0) 3.75,1,1,0,0,0,0,0,1,0,1,0,0,0
   model I8 14.07.3.75,1,0,1,0,0,0,0,1,0,1,0,0,0
   model K360EB4X2,8,0,0,8,0,0,0,8,0,0,8,0,0
   model PB 12.37,2,0,0,2,0,0,0,2,0,0,2,0,0
   model PB 14.37,2,0,0,2,0,0,0,2,0,0,2,0,0
   model PB14.37,1,0,0,1,0,0,0,1,0,0,1,0,0
   model nespecificat,4,0,0,2,2,0,0,4,0,0,2,1,1
 total marca ISUZU,1311,216,124,203,668,49,51,1311,0,327,203,363,418
   model CITIBUS,83,11,16,56,0,0,0,83,0,26,57,0,0
   model CITIMARK,4,0,0,4,0,0,0,4,0,0,0,4,0
   model CITIPORT,240,173,67,0,0,0,0,240,0,240,0,0,0
